Country,leisure_very_important,leisure_rather_important,job_security_important,job_achievement_important,family_very_important,family_rather_important,very_happy,quite_happy,child_manners_important,child_hard_work_important,child_independence_important,wave
Albania,12,33,85,52,96,3,3,30,94,57,32,1
Argentina,26,49,60,54,87,12,29,53,74,56,42,1
Australia,44,44,59,72,90,8,43,51,80,36,53,1
Bangladesh,11,48,77,54,94,5,18,67,95,8,57,1
Belarus,29,44,54,31,84,13,4,41,15,84,30,1
Chile,42,44,70,62,89,9,27,53,82,17,34,1
China,11,44,68,50,76,22,23,61,67,73,50,1
Taiwan,26,52,75,69,78,21,30,61,70,42,66,1
Colombia,40,49,37,44,86,14,47,37,84,18,27,1
Czech Rep.,26,48,76,49,91,7,9,74,79,79,22,1
Estonia,21,54,76,55,78,19,5,59,67,87,54,1
Finland,35,56,67,60,80,16,24,67,82,15,56,1
Hungary,34,41,86,59,89,8,14,64,83,34,44,1
India,11,25,89,61,91,8,30,46,82,72,37,1
Japan,40,49,81,70,90,8,33,57,82,24,60,1
South Korea,23,63,-1,-1,90,9,12,77,91,62,60,1
Latvia,20,45,76,42,68,25,4,64,51,86,38,1
Lithuania,18,54,87,60,73,23,4,51,33,89,72,1
Mexico,35,36,68,58,74,22,32,38,76,33,40,1
New Zealand,45,44,72,83,93,6,33,62,77,37,54,1
Nigeria,50,32,84,85,98,2,46,38,94,83,20,1
Norway,39,52,69,74,88,11,30,64,75,11,89,1
Philippines,14,41,74,61,96,4,40,52,80,58,51,1
Poland,23,55,80,73,90,9,18,67,63,16,32,1
South Africa,32,40,-1,-1,93,5,35,37,86,59,31,1
Spain,30,52,63,38,82,17,19,68,85,64,25,1
Sweden,51,43,53,74,90,8,39,55,67,7,61,1
Switzerland,45,43,64,56,81,16,40,55,66,40,42,1
Turkey,40,38,95,87,97,3,51,37,90,69,16,1
Ukraine,25,44,72,41,86,11,5,41,49,83,34,1
United States,42,46,74,72,95,4,46,47,73,52,45,1
