Country,leisure_very_important,leisure_rather_important,job_security_important,job_achievement_important,family_very_important,family_rather_important,very_happy,quite_happy,child_manners_important,child_hard_work_important,child_independence_important
Albania,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Argentina,34,43,-1,-1,89,10,33,53,-1,41,44
Australia,41,48,-1,-1,93,6,35,58,-1,59,65
Bangladesh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Belarus,37,39,-1,-1,88,10,11,53,-1,88,39
Chile,56,34,-1,-1,92,7,24,60,-1,30,49
China,21,49,-1,-1,86,13,16,69,-1,75,70
Taiwan,36,49,-1,-1,91,8,26,64,-1,40,72
Colombia,49,36,-1,-1,85,14,57,35,-1,14,36
Czech Rep.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Estonia,41,42,-1,-1,88,10,13,64,-1,87,54
Finland,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hungary,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
India,35,35,-1,-1,95,4,37,50,-1,95,90
Japan,42,46,-1,-1,91,7,32,54,-1,35,68
South Korea,31,56,-1,-1,91,8,15,75,-1,64,58
Latvia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lithuania,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mexico,59,27,-1,-1,98,2,68,27,-1,38,38
New Zealand,48,41,-1,-1,93,5,34,59,-1,50,54
Nigeria,52,33,-1,-1,98,1,56,29,-1,78,39
Norway,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Philippines,12,43,-1,-1,99,1,50,40,-1,70,65
Poland,35,51,-1,-1,92,6,22,70,-1,18,43
South Africa,36,36,-1,-1,93,6,39,37,-1,70,63
Spain,45,46,-1,-1,91,8,15,71,-1,67,43
Sweden,54,41,-1,-1,89,9,40,54,-1,14,70
Switzerland,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Turkey,42,43,-1,-1,95,4,38,46,-1,72,35
Ukraine,37,44,-1,-1,92,7,16,52,-1,86,43
United States,39,52,-1,-1,91,7,36,53,-1,66,54
