Country,leisure_very_important,leisure_rather_important,job_security_important,job_achievement_important,family_very_important,family_rather_important,very_happy,quite_happy,child_manners_important,child_hard_work_important,child_independence_important,wave
Albania,12,33,85,52,96,3,3,30,94,57,32,1
Argentina,26,49,60,54,87,12,29,53,74,56,42,1
Australia,44,44,59,72,90,8,43,51,80,36,53,1
Bangladesh,11,48,77,54,94,5,18,67,95,8,57,1
Belarus,29,44,54,31,84,13,4,41,15,84,30,1
Chile,42,44,70,62,89,9,27,53,82,17,34,1
China,11,44,68,50,76,22,23,61,67,73,50,1
Taiwan,26,52,75,69,78,21,30,61,70,42,66,1
Colombia,40,49,37,44,86,14,47,37,84,18,27,1
Czech Rep.,26,48,76,49,91,7,9,74,79,79,22,1
Estonia,21,54,76,55,78,19,5,59,67,87,54,1
Finland,35,56,67,60,80,16,24,67,82,15,56,1
Hungary,34,41,86,59,89,8,14,64,83,34,44,1
India,11,25,89,61,91,8,30,46,82,72,37,1
Japan,40,49,81,70,90,8,33,57,82,24,60,1
South Korea,23,63,-1,-1,90,9,12,77,91,62,60,1
Latvia,20,45,76,42,68,25,4,64,51,86,38,1
Lithuania,18,54,87,60,73,23,4,51,33,89,72,1
Mexico,35,36,68,58,74,22,32,38,76,33,40,1
New Zealand,45,44,72,83,93,6,33,62,77,37,54,1
Nigeria,50,32,84,85,98,2,46,38,94,83,20,1
Norway,39,52,69,74,88,11,30,64,75,11,89,1
Philippines,14,41,74,61,96,4,40,52,80,58,51,1
Poland,23,55,80,73,90,9,18,67,63,16,32,1
South Africa,32,40,-1,-1,93,5,35,37,86,59,31,1
Spain,30,52,63,38,82,17,19,68,85,64,25,1
Sweden,51,43,53,74,90,8,39,55,67,7,61,1
Switzerland,45,43,64,56,81,16,40,55,66,40,42,1
Turkey,40,38,95,87,97,3,51,37,90,69,16,1
Ukraine,25,44,72,41,86,11,5,41,49,83,34,1
United States,42,46,74,72,95,4,46,47,73,52,45,1
Albania,14,38,81,51,96,3,10,49,-1,64,57,2
Argentina,35,42,70,48,90,8,33,48,83,57,36,2
Australia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
Bangladesh,23,46,97,88,97,3,15,63,-1,59,78,2
Belarus,24,41,30,31,78,18,5,57,60,91,32,2
Chile,53,34,74,63,96,3,36,44,-1,26,53,2
China,7,42,68,31,60,36,12,66,-1,86,74,2
Taiwan,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
Colombia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
Czech Rep.,21,58,52,38,84,14,11,75,87,73,69,2
Estonia,19,53,51,45,68,28,6,58,78,82,22,2
Finland,39,51,68,56,80,16,24,65,90,12,57,2
Hungary,31,48,89,77,89,9,17,54,70,70,70,2
India,28,34,91,69,92,6,25,48,-1,85,56,2
Japan,42,46,80,70,91,6,28,59,-1,27,82,2
South Korea,24,61,97,92,90,10,10,78,-1,72,77,2
Latvia,16,45,38,32,70,22,7,50,72,85,51,2
Lithuania,15,61,75,42,65,30,4,57,33,85,75,2
Mexico,50,32,65,53,97,2,56,35,-1,30,42,2
New Zealand,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
Nigeria,52,32,82,82,99,1,67,25,95,80,26,2
Norway,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
Philippines,15,41,76,54,99,1,38,49,-1,74,66,2
Poland,24,56,80,67,91,8,17,60,57,85,22,2
South Africa,35,43,84,75,95,3,39,39,-1,75,62,2
Spain,35,49,75,48,86,13,20,67,86,45,39,2
Sweden,54,40,51,72,89,8,37,57,70,4,69,2
Switzerland,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
Turkey,43,34,98,94,97,2,31,41,92,74,15,2
Ukraine,24,41,72,51,81,14,6,40,55,88,32,2
United States,42,48,72,84,95,4,39,54,-1,61,61,2
Albania,15,50,76,58,90,10,12,55,85,58,32,3
Argentina,40,42,-1,-1,91,8,32,55,-1,58,44,3
Australia,45,46,-1,-1,94,5,35,56,-1,49,64,3
Bangladesh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
Belarus,25,52,56,52,81,17,11,65,64,88,25,3
Chile,47,38,-1,-1,90,9,30,49,-1,27,40,3
China,11,39,-1,-1,78,19,19,58,-1,83,70,3
Taiwan,34,50,-1,-1,92,7,22,64,-1,55,80,3
Colombia,-1,-1,-1,-1,-1,-1,49,38,-1,19,33,3
Czech Rep.,34,51,61,47,78,17,14,70,76,73,64,3
Estonia,27,53,72,62,74,21,10,68,77,81,26,3
Finland,45,49,71,61,85,12,22,67,87,11,60,3
Hungary,38,47,81,42,89,9,17,61,83,62,78,3
India,24,36,-1,-1,90,8,29,46,-1,81,67,3
Japan,40,50,-1,-1,91,6,28,59,-1,32,80,3
South Korea,24,61,-1,-1,92,8,13,74,-1,72,68,3
Latvia,24,51,62,51,66,28,10,65,66,78,68,3
Lithuania,20,58,72,53,62,33,6,60,39,79,72,3
Mexico,55,29,-1,-1,95,4,58,32,-1,24,41,3
New Zealand,48,39,-1,-1,93,5,38,58,-1,41,53,3
Nigeria,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
Norway,51,44,60,62,90,9,39,57,78,12,88,3
Philippines,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
Poland,34,50,79,66,89,10,20,66,57,57,39,3
South Africa,37,39,-1,-1,96,4,43,35,-1,71,59,3
Spain,42,48,52,26,86,13,22,69,84,39,36,3
Sweden,53,40,52,61,92,7,36,56,77,10,71,3
Switzerland,45,47,55,51,85,13,42,51,78,23,71,3
Turkey,50,36,96,84,97,3,31,48,92,76,27,3
Ukraine,30,48,61,49,87,11,12,59,61,83,25,3
United States,37,51,-1,-1,94,5,34,59,-1,62,54,3
Albania,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Argentina,34,43,-1,-1,89,10,33,53,-1,41,44,4
Australia,41,48,-1,-1,93,6,35,58,-1,59,65,4
Bangladesh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Belarus,37,39,-1,-1,88,10,11,53,-1,88,39,4
Chile,56,34,-1,-1,92,7,24,60,-1,30,49,4
China,21,49,-1,-1,86,13,16,69,-1,75,70,4
Taiwan,36,49,-1,-1,91,8,26,64,-1,40,72,4
Colombia,49,36,-1,-1,85,14,57,35,-1,14,36,4
Czech Rep.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Estonia,41,42,-1,-1,88,10,13,64,-1,87,54,4
Finland,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Hungary,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
India,35,35,-1,-1,95,4,37,50,-1,95,90,4
Japan,42,46,-1,-1,91,7,32,54,-1,35,68,4
South Korea,31,56,-1,-1,91,8,15,75,-1,64,58,4
Latvia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Lithuania,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Mexico,59,27,-1,-1,98,2,68,27,-1,38,38,4
New Zealand,48,41,-1,-1,93,5,34,59,-1,50,54,4
Nigeria,52,33,-1,-1,98,1,56,29,-1,78,39,4
Norway,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Philippines,12,43,-1,-1,99,1,50,40,-1,70,65,4
Poland,35,51,-1,-1,92,6,22,70,-1,18,43,4
South Africa,36,36,-1,-1,93,6,39,37,-1,70,63,4
Spain,45,46,-1,-1,91,8,15,71,-1,67,43,4
Sweden,54,41,-1,-1,89,9,40,54,-1,14,70,4
Switzerland,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Turkey,42,43,-1,-1,95,4,38,46,-1,72,35,4
Ukraine,37,44,-1,-1,92,7,16,52,-1,86,43,4
United States,39,52,-1,-1,91,7,36,53,-1,66,54,4
